#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,phase
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T10:22:59Z,1460,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T11:22:30Z,1448,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T13:21:26Z,1453,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T14:20:52Z,1535,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T15:20:22Z,1526,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T16:19:49Z,1526,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T17:19:14Z,1526,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T18:18:40Z,1527,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T19:18:05Z,1526,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T20:17:33Z,1526,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T21:16:58Z,1525,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T22:16:24Z,1524,load_grams,plant_watering,esp_2_timer_irrigation,post
